,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,-3.9781837,2.0876477,8.960282,0.4837801,1.6490694,-0.27146062,-0.6500031,1.6080244,-0.7726132,4.702765,1.7686651,0.102826566,-1.5802326,-1.4414347,0.30044407,-0.6764002,-1.5244607,-0.48186952,2.5875747,-0.53246695,0.49138126,0.948455,-3.5839396,0.82597303,3.450827,2.4151738,5.7742963,2.5109553,-0.4077371,-2.4517043,-0.29657823,0.5523066,6.9658976,-2.0664937,2.7193022,3.7307208,-3.286281,-1.1959686,4.1772604,5.0866995,-1.7261891,-5.872957,1.2966,0.10383708,1.2681159
1,1.4366251,1.7039138,2.731535,0.054410793,-0.16975132,-0.9803913,-0.8195585,-1.3274571,-0.08998181,2.0856383,-1.4012768,-0.021569278,-2.6361914,-0.74333733,-0.9936629,0.7626171,-4.4009337,-1.0518073,0.33953354,0.26269373,0.25539905,-0.32314748,-2.9872403,3.345251,0.7767135,3.7866592,-0.11296353,2.4164367,-0.69732016,-4.382189,1.7027432,-0.52643245,5.2120085,0.8877148,0.84446007,1.2317673,-3.1203673,-1.8569112,3.7581267,2.3709958,-0.23524433,-2.5292146,0.9558189,-2.8271887,2.0483515
2,3.9013114,3.1205103,8.905882,-0.44120052,1.8537935,-5.403259,4.639205,0.51020676,1.1459998,2.375728,0.88562983,-5.2000623,-5.3659616,-7.1095915,4.745269,3.9793808,-2.0884244,-4.1310697,0.84220135,-0.18411285,-3.6674814,-2.5917845,-2.7879584,-0.19273087,-0.3286947,0.48721558,0.9806644,-1.328943,0.20203069,2.2611744,6.8549867,4.315903,1.3702956,0.24374896,-0.028473154,-3.541313,-2.3936982,2.4558172,7.2314,0.4826983,5.5846295,-1.697583,-2.6091375,-0.6577843,-1.6584872
3,-0.86991894,-1.1958122,5.439152,3.824745,2.9199865,0.340806,4.1742196,7.046742,6.771473,-0.32193264,0.48241764,-1.424891,-3.0351782,-3.3423266,-5.365185,-5.1277466,-3.9166503,4.350469,5.2722745,2.302583,1.8388041,-3.8524764,-3.994504,-3.1057773,-2.8824766,5.7037196,-3.4714923,-6.2099175,-1.3754839,2.0027037,4.9773164,0.9508249,-2.7893364,1.3361299,1.9515442,0.7236911,-0.7273974,4.9674554,3.3354244,-4.97109,0.87766373,1.0495524,-3.5002232,-5.095668,6.816232
4,-0.8984152,1.0335943,2.4287887,1.9413155,3.573152,0.7527192,-0.71046084,4.3782487,-1.0143642,1.3231964,2.6024244,1.5278599,-2.0758145,-0.21001421,-0.82566833,-3.9013302,-0.50219524,2.57639,1.3219339,1.3216139,4.001535,2.9861217,-1.684452,0.41601816,-0.030742012,0.92595917,-0.5967514,-0.58138776,0.023267724,-2.9533563,2.1860178,-1.6574521,4.8361053,-0.86467737,-0.47587195,1.2542088,-1.7560055,-0.023482487,1.6518722,-0.85874796,-1.5245396,-3.30925,0.8176178,-2.4871752,2.2416542
5,2.4497113,0.18277428,8.507778,5.147708,6.021524,-2.9654157,2.140351,6.139071,-2.1015484,7.715235,0.3791511,0.0054562837,-0.8716706,-4.799655,-2.363104,-6.948588,0.7335061,4.7023797,-1.4588779,-5.1704216,4.04521,1.3080361,-5.706459,-5.3183007,-0.23513404,-7.290158,1.0110264,-2.9148283,0.7680212,1.9475247,6.854832,1.937387,0.60884506,-5.738321,0.18109295,-0.090605795,-4.680583,0.42736214,3.3999314,-1.7573899,7.4328084,-0.9605128,-2.441268,-2.6105785,5.417385
6,0.99627924,-0.54348564,2.9144065,-0.37844896,0.689749,-0.19798233,0.226274,-0.8610494,1.1565236,1.8106052,-0.33380502,0.37542874,-0.92315054,-0.2413807,-0.7980409,2.6767404,-1.9689655,-1.0114229,2.8821383,-1.1333189,0.9640342,0.545747,-1.431788,2.2612932,1.8112731,3.4769685,1.8389808,2.240771,-0.14342815,-0.17596534,0.08446332,0.47453204,2.6947832,0.4119612,-0.56149614,0.8367815,-1.5817932,-0.20543042,1.8993449,2.1078324,1.1203963,-2.2286434,2.9735131,0.9886726,1.0439124
7,-1.1050372,0.0727637,3.346623,2.0958345,3.9907236,1.2325257,-1.0981555,3.1590137,-2.3727071,2.5140388,2.342846,0.79351175,-0.09313731,-0.49503028,-2.3168347,-2.9098835,-0.4421544,2.2402856,-0.067958064,-1.4493285,2.9359798,3.0953517,-1.0991594,-0.22982258,2.1875694,-0.49406397,1.9346036,0.4943508,0.6618577,-0.81757915,-0.44441465,-0.72834176,5.23205,-2.532268,0.043855287,0.892994,-2.827251,-0.14283706,1.7453401,0.70336944,0.4236375,-2.3506453,1.6169513,-0.36393172,1.852048
8,0.17104048,-0.009178437,5.1583915,-0.12614286,3.3326015,-0.91654265,2.9649494,1.176511,1.3606931,-0.93751025,-0.93580705,-2.049728,-2.135911,-4.199224,-0.08064222,1.0549576,-1.6281385,-0.986853,3.5775769,1.6072296,1.0427958,-1.080191,-4.646527,-1.0851978,-1.7156364,1.8848928,1.6108376,-0.30545604,-1.042845,2.1831648,2.8805594,0.20266111,0.42427328,1.75011,-0.11497416,-1.9498312,0.35060555,3.6757133,3.8925397,-0.49205816,1.8174789,-1.0899993,-1.1646904,-0.8232475,0.9952282
9,-0.49614456,0.9893298,6.8079004,1.2257762,2.037745,-1.6187661,-0.79843515,0.15844199,-1.333621,2.4922905,3.3454583,-1.6017135,-1.4253457,-0.71812874,0.11920187,1.3055474,-1.5816014,0.24734613,0.5708854,-0.95434403,0.803009,1.7270453,0.3752433,1.5967189,3.1343877,3.6180422,2.0512366,2.6309454,-0.14252153,-1.0692481,1.4466935,2.2032511,7.488145,-3.5189939,2.4339163,1.3969505,-5.6043644,-2.4399257,4.6236954,4.0979924,3.0325031,-2.7632828,4.159812,-0.13868344,-0.616545
